iter	MultiClass
0	1.326876452
1	1.280164241
2	1.234217993
3	1.195235844
4	1.159831741
5	1.127801977
6	1.098516083
7	1.074127203
8	1.050905411
9	1.03002355
10	1.01337082
11	0.994405666
12	0.9795027506
13	0.9631011739
14	0.9503463396
15	0.9377600768
16	0.9258235667
17	0.9149672509
18	0.9026885417
19	0.8922211202
20	0.8823676069
21	0.8736771824
22	0.8667324391
23	0.8577283183
24	0.8502850505
25	0.843802208
26	0.8360908867
27	0.8279222173
28	0.8230136692
29	0.8171690622
30	0.8125206714
31	0.8070211124
32	0.8031981578
33	0.7990008532
34	0.7942829665
35	0.7914207844
36	0.7851691176
37	0.7817246673
38	0.7770665912
39	0.7740794342
40	0.7708232339
41	0.7665552086
42	0.7618340743
43	0.7580175162
44	0.7544535204
45	0.7514899107
46	0.7484278121
47	0.7455297987
48	0.7427569711
49	0.7394312153
50	0.7375850042
51	0.734036331
52	0.7303255145
53	0.7271834005
54	0.7248116743
55	0.7218767216
56	0.7178853005
57	0.7156112841
58	0.7131953321
59	0.7104548884
60	0.7067385496
61	0.7031027586
62	0.7008573476
63	0.6988604032
64	0.6957115277
65	0.6935734197
66	0.6904532805
67	0.6881434794
68	0.6853791729
69	0.6820346842
70	0.6798820686
71	0.6774120789
72	0.6764125965
73	0.6743755509
74	0.6714582064
75	0.6691851366
76	0.6674704276
77	0.6658057978
78	0.6634315776
79	0.6616600599
80	0.6598680485
81	0.6569417825
82	0.6549276087
83	0.653000864
84	0.6511804261
85	0.6499444895
86	0.6480784377
87	0.6456288853
88	0.6433256516
89	0.6409100357
90	0.6392139868
91	0.6373661376
92	0.6355353282
93	0.6330279498
94	0.6311794772
95	0.6292611383
96	0.6274630079
97	0.6255674132
98	0.6239580671
99	0.6222628987
100	0.6202414387
101	0.6196003299
102	0.6162691918
103	0.6146550815
104	0.612549987
105	0.6105081161
106	0.609124749
107	0.6063524435
108	0.6051906692
109	0.6040480845
110	0.6024414688
111	0.5996619654
112	0.5959962121
113	0.5943489858
114	0.5918978982
115	0.5899156553
116	0.5878427004
117	0.585951755
118	0.5838869737
119	0.5811185386
120	0.578147302
121	0.5764738196
122	0.5748947987
123	0.5724366375
124	0.5707598461
125	0.5681899701
126	0.5658430723
127	0.5646218864
128	0.5627628317
129	0.5602437465
130	0.5582548548
131	0.5564665209
132	0.5536752643
133	0.5519741396
134	0.5494423544
135	0.5472554844
136	0.5456842992
137	0.5438223707
138	0.5423011767
139	0.5415342517
140	0.53981436
141	0.5375795064
142	0.5360255157
143	0.5337516479
144	0.5320509067
145	0.5302582616
146	0.5283039051
147	0.5269457059
148	0.5246507653
149	0.5238760659
150	0.5231175304
151	0.5213356198
152	0.5195300805
153	0.5169493509
154	0.5150415653
155	0.5133042232
156	0.5118050609
157	0.5094558201
158	0.5086297011
159	0.5065925784
160	0.5056262909
161	0.5043090683
162	0.5019824513
163	0.5001488583
164	0.4988102451
165	0.4980713208
166	0.4967452589
167	0.4948020258
168	0.4933416537
169	0.4917147593
170	0.4901578555
171	0.4889624143
172	0.4868058893
173	0.484840084
174	0.4834706228
175	0.4818338532
176	0.4805632398
177	0.4791820918
178	0.4778927722
179	0.476033865
180	0.474799329
181	0.4742530688
182	0.4737025665
183	0.4729623622
184	0.4711809566
185	0.469947701
186	0.4687064531
187	0.4668920564
188	0.4652248113
189	0.4637956965
190	0.462440756
191	0.4605296765
192	0.4588953792
193	0.4579849935
194	0.4571126372
195	0.4561599862
196	0.4542296087
197	0.4522613777
198	0.4514220841
199	0.4504227179
200	0.44972759
201	0.4492580923
202	0.4472692292
203	0.4455436885
204	0.4434569968
205	0.4423987945
206	0.4406268776
207	0.439273371
208	0.4373247
209	0.4357715069
210	0.4339314188
211	0.4328531203
212	0.4318911661
213	0.431211479
214	0.4297305449
215	0.4279834798
216	0.4270909274
217	0.4261930106
218	0.4256949478
219	0.4249400726
220	0.4235886966
221	0.4219724225
222	0.4209744274
223	0.4194119523
224	0.4186510593
225	0.4178382623
226	0.4164264451
227	0.4153638419
228	0.4141814013
229	0.4129912156
230	0.4119058857
231	0.4110621753
232	0.4095568719
233	0.4086136829
234	0.4074052871
235	0.4069289601
236	0.405620432
237	0.4049310466
238	0.4040383092
239	0.4029010244
240	0.4012170641
241	0.4004073617
242	0.3988881423
243	0.3968035712
244	0.3955943152
245	0.3948983969
246	0.3934665455
247	0.3927238504
248	0.3918942715
249	0.3905964755
250	0.3888766829
251	0.3875577931
252	0.3861219514
253	0.3844491501
254	0.3836425049
255	0.3826096005
256	0.3815739945
257	0.381018649
258	0.3806106244
259	0.3798626637
260	0.3790939105
261	0.3778453486
262	0.3771251012
263	0.3762119041
264	0.3751256855
265	0.373983009
266	0.3733656592
267	0.3723003797
268	0.3714407068
269	0.3704323805
270	0.3698009888
271	0.3682145523
272	0.3674304564
273	0.3665581485
274	0.3642304538
275	0.3631489382
276	0.3618931567
277	0.3606952273
278	0.3599575148
279	0.359032704
280	0.3584558268
281	0.3575871293
282	0.3568595971
283	0.3560265531
284	0.3553752675
