iter	Passed	Remaining
0	178	178006
1	185	92399
2	191	63650
3	198	49500
4	202	40385
5	206	34274
6	210	29911
7	215	26661
8	219	24115
9	222	22065
10	226	20383
11	231	19033
12	235	17854
13	239	16847
14	243	15958
15	247	15200
16	251	14527
17	254	13910
18	258	13354
19	262	12870
20	266	12430
21	270	12025
22	274	11654
23	278	11312
24	281	10986
25	285	10697
26	289	10430
27	293	10181
28	297	9946
29	300	9722
30	304	9506
31	308	9318
32	312	9144
33	315	8976
34	319	8816
35	323	8663
36	327	8523
37	331	8387
38	335	8257
39	338	8127
40	342	8002
41	346	7893
42	349	7784
43	353	7679
44	357	7577
45	362	7513
46	366	7424
47	369	7334
48	373	7245
49	377	7171
50	380	7088
51	384	7011
52	388	6935
53	394	6904
54	397	6835
55	401	6770
56	405	6704
57	409	6649
58	412	6586
59	416	6521
60	420	6468
61	424	6424
62	428	6371
63	432	6318
64	435	6271
65	440	6228
66	443	6180
67	447	6132
68	451	6090
69	455	6049
70	459	6008
71	462	5965
72	466	5926
73	470	5885
74	474	5852
75	478	5812
76	481	5770
77	484	5732
78	489	5701
79	492	5664
80	496	5628
81	499	5591
82	503	5558
83	506	5528
84	510	5496
85	514	5465
86	517	5435
87	521	5409
88	525	5379
89	529	5354
90	533	5326
91	537	5302
92	541	5276
93	545	5253
94	548	5227
95	552	5199
96	556	5177
97	560	5154
98	563	5129
99	567	5105
100	571	5090
101	575	5065
102	579	5044
103	582	5021
104	587	5003
105	590	4982
106	594	4961
107	598	4939
108	602	4921
109	605	4903
110	609	4883
111	613	4863
112	617	4846
113	622	4834
114	626	4817
115	630	4801
116	635	4795
117	639	4780
118	643	4765
119	647	4749
120	652	4737
121	656	4722
122	660	4707
123	664	4692
124	669	4685
125	673	4672
126	677	4659
127	681	4644
128	723	4885
129	733	4905
130	739	4906
131	747	4917
132	756	4933
133	760	4914
134	764	4896
135	767	4878
136	771	4860
137	775	4846
138	779	4829
139	783	4815
140	787	4797
141	790	4779
142	794	4762
143	798	4749
144	802	4733
145	806	4718
146	810	4701
147	814	4689
148	818	4673
149	822	4658
150	825	4643
151	829	4630
152	833	4615
153	837	4600
154	841	4585
155	844	4570
156	848	4557
157	852	4543
158	856	4530
159	860	4516
160	864	4505
161	867	4489
162	871	4476
163	875	4460
164	879	4448
165	882	4435
166	886	4422
167	890	4410
168	894	4396
169	897	4383
170	901	4370
171	905	4357
172	908	4345
173	913	4334
174	916	4322
175	920	4310
176	924	4298
177	928	4288
178	932	4276
179	936	4264
180	939	4251
181	943	4241
182	947	4230
183	951	4218
184	954	4207
185	958	4196
186	962	4185
187	966	4174
188	970	4163
189	973	4151
190	977	4142
191	981	4131
192	985	4119
193	988	4108
194	992	4098
195	996	4088
196	1000	4077
197	1003	4066
198	1007	4055
199	1011	4047
200	1015	4037
201	1019	4026
202	1022	4016
203	1027	4007
204	1030	3997
205	1034	3987
206	1038	3977
207	1042	3969
208	1046	3959
209	1050	3950
210	1053	3940
211	1057	3931
212	1061	3922
213	1065	3912
214	1069	3903
215	1073	3894
216	1076	3886
217	1080	3877
218	1084	3868
219	1088	3858
220	1092	3851
221	1096	3842
222	1100	3833
223	1103	3824
224	1108	3816
225	1111	3807
226	1115	3797
227	1118	3788
228	1122	3780
229	1126	3771
230	1130	3762
231	1133	3753
232	1138	3747
233	1143	3742
234	1147	3735
235	1150	3725
236	1155	3719
237	1158	3710
238	1162	3701
239	1166	3693
240	1170	3685
241	1174	3677
242	1177	3669
243	1181	3661
244	1185	3654
245	1190	3647
246	1193	3639
247	1197	3631
248	1201	3622
249	1205	3616
250	1209	3608
251	1212	3599
252	1216	3591
253	1220	3585
254	1224	3577
255	1228	3570
256	1232	3562
257	1236	3554
258	1239	3546
259	1243	3538
260	1247	3530
261	1250	3523
262	1254	3515
263	1258	3507
264	1261	3500
265	1265	3492
266	1269	3486
267	1273	3478
268	1277	3470
269	1281	3463
270	1285	3456
271	1288	3448
272	1292	3441
273	1296	3434
274	1300	3427
275	1304	3422
276	1308	3415
277	1312	3407
278	1316	3400
279	1320	3394
280	1323	3387
281	1327	3379
282	1330	3372
283	1335	3366
284	1339	3359
285	1342	3352
286	1346	3344
287	1350	3339
288	1355	3334
289	1358	3327
290	1362	3320
291	1366	3313
292	1370	3306
293	1374	3299
294	1378	3293
295	1382	3288
296	1386	3281
297	1389	3274
298	1393	3266
299	1397	3260
300	1401	3254
301	1405	3248
302	1409	3241
303	1412	3234
304	1418	3232
305	1422	3226
306	1426	3219
307	1430	3213
308	1433	3206
309	1437	3200
310	1441	3193
311	1444	3186
312	1449	3180
313	1452	3173
314	1456	3166
315	1460	3160
316	1464	3154
317	1467	3148
318	1471	3141
319	1475	3134
320	1479	3128
321	1482	3121
322	1486	3115
323	1490	3109
324	1493	3102
325	1498	3097
326	1502	3091
327	1505	3085
328	1509	3078
329	1513	3073
330	1517	3067
331	1521	3061
332	1525	3055
333	1529	3050
334	1533	3043
335	1536	3036
336	1540	3030
337	1544	3024
338	1548	3019
339	1552	3013
340	1556	3007
341	1560	3002
342	1564	2996
343	1567	2989
344	1571	2983
345	1575	2977
346	1579	2972
347	1583	2966
348	1587	2960
349	1591	2955
350	1595	2950
351	1599	2944
352	1603	2938
353	1607	2933
354	1611	2928
355	1615	2922
356	1619	2916
357	1623	2910
358	1627	2906
359	1631	2899
360	1635	2894
361	1639	2888
362	1643	2884
363	1647	2878
364	1651	2873
365	1655	2867
366	1662	2867
367	1668	2865
368	1672	2859
369	1676	2854
370	1680	2848
371	1684	2842
372	1687	2837
373	1691	2831
374	1695	2825
375	1699	2820
376	1703	2814
377	1707	2809
378	1711	2804
379	1714	2798
380	1718	2792
381	1722	2786
382	1726	2781
383	1730	2775
384	1733	2769
385	1737	2763
386	1741	2758
387	1745	2753
388	1749	2747
389	1753	2742
390	1757	2736
391	1760	2731
392	1764	2725
393	1768	2719
394	1772	2714
395	1776	2709
396	1779	2703
397	1783	2697
398	1787	2692
399	1791	2687
400	1794	2681
401	1798	2675
402	1801	2669
403	1806	2664
404	1810	2659
405	1813	2653
406	1817	2647
407	1821	2643
408	1825	2637
409	1828	2631
410	1832	2626
411	1836	2620
412	1839	2614
413	1843	2609
414	1847	2603
415	1850	2598
416	1855	2594
417	1860	2589
418	1863	2584
419	1867	2579
420	1872	2574
421	1875	2569
422	1879	2563
423	1883	2558
424	1887	2553
425	1891	2548
426	1894	2542
427	1898	2537
428	1902	2532
429	1906	2527
430	1909	2521
431	1913	2516
432	1917	2510
433	1921	2505
434	1925	2500
435	1929	2495
436	1932	2490
437	1937	2485
438	1940	2480
439	1945	2476
440	1949	2470
441	1953	2465
442	1956	2460
443	1960	2454
444	1964	2449
445	1968	2444
446	1971	2439
447	1975	2434
448	1979	2428
449	1983	2424
450	1987	2418
451	1990	2413
452	1994	2408
453	1998	2403
454	2002	2398
455	2006	2393
456	2009	2387
457	2013	2382
458	2016	2377
459	2021	2372
460	2024	2367
461	2028	2362
462	2032	2357
463	2036	2352
464	2040	2347
465	2044	2342
466	2048	2337
467	2052	2332
468	2055	2327
469	2059	2322
470	2063	2317
471	2066	2312
472	2070	2307
473	2074	2302
474	2078	2297
475	2082	2292
476	2086	2287
477	2089	2282
478	2093	2277
479	2097	2272
480	2101	2267
481	2104	2261
482	2108	2256
483	2111	2251
484	2116	2247
485	2119	2241
486	2123	2236
487	2127	2231
488	2131	2227
489	2135	2222
490	2138	2217
491	2142	2211
492	2146	2206
493	2149	2201
494	2153	2196
495	2156	2191
496	2160	2186
497	2164	2181
498	2167	2176
499	2171	2171
500	2175	2166
501	2179	2162
502	2183	2156
503	2188	2153
504	2192	2148
505	2196	2144
506	2199	2139
507	2203	2133
508	2207	2129
509	2211	2124
510	2215	2119
