iter	Passed	Remaining
0	7	7754
1	13	6757
2	19	6492
3	25	6431
4	31	6294
5	38	6307
6	43	6194
7	49	6121
8	55	6137
9	61	6076
10	67	6067
11	74	6113
12	80	6092
13	87	6145
14	92	6090
15	98	6054
16	104	6050
17	110	6018
18	115	5980
19	122	5991
20	127	5964
21	133	5951
22	139	5944
23	145	5918
24	151	5895
25	156	5876
26	162	5853
27	169	5869
28	175	5870
29	180	5842
30	187	5852
31	194	5893
32	201	5906
33	208	5918
34	214	5905
35	220	5908
36	226	5885
37	232	5886
38	238	5872
39	244	5857
40	249	5842
41	255	5828
42	261	5811
43	267	5805
44	272	5790
45	278	5773
46	285	5785
47	291	5781
48	297	5781
49	303	5764
50	308	5742
51	314	5738
52	320	5728
53	326	5711
54	332	5706
55	337	5686
56	342	5673
57	350	5687
58	355	5674
59	361	5661
60	367	5661
61	373	5647
62	379	5643
63	384	5627
64	389	5609
65	395	5601
66	402	5600
67	407	5585
68	413	5579
69	418	5565
70	424	5554
71	430	5554
72	436	5542
73	441	5529
74	447	5519
75	453	5508
76	458	5498
77	464	5491
78	470	5481
79	476	5474
80	482	5472
81	488	5465
82	494	5459
83	499	5446
84	504	5433
85	510	5427
86	516	5424
87	522	5410
88	528	5406
89	534	5399
90	539	5390
91	545	5383
92	551	5376
93	557	5372
94	563	5365
95	568	5355
96	575	5353
97	580	5342
98	586	5334
99	592	5329
100	597	5319
101	602	5307
102	609	5305
103	615	5300
104	620	5292
105	627	5288
106	632	5278
107	638	5272
108	643	5263
109	649	5253
110	656	5255
111	662	5250
112	669	5252
113	676	5254
114	682	5248
115	688	5248
116	695	5247
117	700	5238
118	707	5238
119	714	5238
120	721	5244
121	727	5237
122	733	5232
123	740	5230
124	746	5227
125	753	5226
126	759	5219
127	764	5208
128	770	5203
129	776	5194
130	781	5183
131	787	5177
132	792	5167
133	798	5159
134	804	5157
135	811	5153
136	816	5145
137	823	5141
138	828	5132
139	834	5124
140	840	5118
141	845	5109
142	852	5108
143	858	5100
144	863	5092
145	869	5087
146	875	5078
147	881	5076
148	888	5075
149	894	5070
150	901	5067
151	906	5058
152	912	5049
153	918	5046
154	925	5046
155	932	5042
156	938	5039
157	944	5035
158	952	5036
159	958	5030
160	963	5022
161	970	5018
162	975	5010
163	981	5004
164	987	4996
165	992	4988
166	999	4984
167	1005	4977
168	1010	4968
169	1016	4962
170	1022	4958
171	1028	4950
172	1034	4945
173	1040	4937
174	1045	4931
175	1051	4925
176	1057	4918
177	1064	4913
178	1069	4905
179	1075	4898
180	1081	4893
181	1087	4885
182	1092	4875
183	1098	4871
184	1103	4862
185	1109	4854
186	1115	4849
187	1121	4843
188	1127	4837
189	1134	4837
190	1140	4831
191	1147	4827
192	1152	4818
193	1157	4810
194	1164	4805
195	1169	4799
196	1176	4794
